,NEIGHBOURHOOD,IMPACTYPE,YEAR,n
1,West Humber-Clairville (1),Pedestrian Collisions,2006,23
2,Waterfront Communities-The Island (77),Angle,2006,22
3,South Parkdale (85),Pedestrian Collisions,2006,18
4,Mimico (17),Sideswipe,2006,17
5,Bedford Park-Nortown (39),Pedestrian Collisions,2006,16
6,Eglinton East (138),Pedestrian Collisions,2006,16
7,Kensington-Chinatown (78),Pedestrian Collisions,2006,16
8,Agincourt South-Malvern West (128),Pedestrian Collisions,2006,14
9,Church-Yonge Corridor (75),Cyclist Collisions,2006,14
10,Annex (95),Pedestrian Collisions,2006,13
11,Rouge (131),Angle,2007,20
12,Banbury-Don Mills (42),Rear End,2007,18
13,Clairlea-Birchmount (120),Pedestrian Collisions,2007,18
14,Wexford/Maryvale (119),Pedestrian Collisions,2007,18
15,Mount Olive-Silverstone-Jamestown (2),Approaching,2007,16
16,Newtonbrook West (36),Pedestrian Collisions,2007,16
17,West Humber-Clairville (1),Turning Movement,2007,16
18,Bay Street Corridor (76),Turning Movement,2007,15
19,Mount Olive-Silverstone-Jamestown (2),Angle,2007,15
20,Woburn (137),Pedestrian Collisions,2007,15
21,York University Heights (27),Pedestrian Collisions,2008,21
22,Downsview-Roding-CFB (26),Pedestrian Collisions,2008,17
23,West Humber-Clairville (1),Rear End,2008,17
24,Victoria Village (43),Approaching,2008,16
25,Waterfront Communities-The Island (77),Pedestrian Collisions,2008,14
26,Annex (95),Pedestrian Collisions,2008,12
27,Bay Street Corridor (76),Pedestrian Collisions,2008,12
28,Newtonbrook East (50),Pedestrian Collisions,2008,12
29,Rouge (131),Angle,2008,12
30,West Humber-Clairville (1),Pedestrian Collisions,2008,12
31,York University Heights (27),Turning Movement,2009,26
32,Bay Street Corridor (76),Pedestrian Collisions,2009,23
33,Waterfront Communities-The Island (77),Pedestrian Collisions,2009,19
34,Church-Yonge Corridor (75),Pedestrian Collisions,2009,14
35,Humber Summit (21),Pedestrian Collisions,2009,14
36,Newtonbrook West (36),Pedestrian Collisions,2009,14
37,South Riverdale (70),Pedestrian Collisions,2009,14
38,East End-Danforth (62),Other,2009,13
39,Waterfront Communities-The Island (77),Angle,2009,13
40,West Humber-Clairville (1),Pedestrian Collisions,2009,13
41,Kensington-Chinatown (78),Pedestrian Collisions,2010,28
42,Bay Street Corridor (76),Pedestrian Collisions,2010,21
43,West Humber-Clairville (1),Rear End,2010,17
44,West Humber-Clairville (1),Angle,2010,16
45,Oakwood Village (107),Pedestrian Collisions,2010,15
46,Waterfront Communities-The Island (77),Angle,2010,15
47,High Park North (88),Pedestrian Collisions,2010,14
48,Woburn (137),SMV Other,2010,14
49,Forest Hill South (101),Turning Movement,2010,13
50,Old East York (58),Pedestrian Collisions,2010,13
51,Bay Street Corridor (76),Pedestrian Collisions,2011,22
52,Kensington-Chinatown (78),Pedestrian Collisions,2011,21
53,Victoria Village (43),Rear End,2011,18
54,Mimico (17),Rear End,2011,16
55,Church-Yonge Corridor (75),Pedestrian Collisions,2011,15
56,Niagara (82),Pedestrian Collisions,2011,15
57,Bay Street Corridor (76),Cyclist Collisions,2011,13
58,Church-Yonge Corridor (75),Cyclist Collisions,2011,12
59,Newtonbrook West (36),Pedestrian Collisions,2011,12
60,South Riverdale (70),Pedestrian Collisions,2011,12
61,Waterfront Communities-The Island (77),Pedestrian Collisions,2012,29
62,Waterfront Communities-The Island (77),Rear End,2012,19
63,Cabbagetown-South St.James Town (71),Pedestrian Collisions,2012,17
64,Waterfront Communities-The Island (77),Cyclist Collisions,2012,17
65,West Humber-Clairville (1),Pedestrian Collisions,2012,16
66,Bay Street Corridor (76),Angle,2012,15
67,Church-Yonge Corridor (75),Cyclist Collisions,2012,15
68,Flemingdon Park (44),SMV Other,2012,15
69,South Riverdale (70),Turning Movement,2012,15
70,Bay Street Corridor (76),Cyclist Collisions,2012,14
71,Waterfront Communities-The Island (77),Pedestrian Collisions,2013,49
72,Milliken (130),Pedestrian Collisions,2013,24
73,Waterfront Communities-The Island (77),Cyclist Collisions,2013,19
74,Clairlea-Birchmount (120),Pedestrian Collisions,2013,16
75,Moss Park (73),Pedestrian Collisions,2013,15
76,West Hill (136),Pedestrian Collisions,2013,14
77,Birchcliffe-Cliffside (122),Pedestrian Collisions,2013,13
78,Agincourt North (129),Pedestrian Collisions,2013,12
79,Stonegate-Queensway (16),Pedestrian Collisions,2013,12
80,Bay Street Corridor (76),Pedestrian Collisions,2013,11
81,Waterfront Communities-The Island (77),Pedestrian Collisions,2014,21
82,Humber Summit (21),Angle,2014,18
83,Waterfront Communities-The Island (77),Sideswipe,2014,16
84,Wexford/Maryvale (119),Pedestrian Collisions,2014,13
85,Scarborough Village (139),Rear End,2014,11
86,Clairlea-Birchmount (120),Pedestrian Collisions,2014,10
87,Eglinton East (138),Pedestrian Collisions,2014,10
88,Junction Area (90),Pedestrian Collisions,2014,10
89,Kensington-Chinatown (78),Pedestrian Collisions,2014,10
90,Rexdale-Kipling (4),Angle,2014,10
91,Wexford/Maryvale (119),Pedestrian Collisions,2015,22
92,Bendale (127),Turning Movement,2015,14
93,Woburn (137),Pedestrian Collisions,2015,14
94,South Riverdale (70),Pedestrian Collisions,2015,13
